State,Age,Gender,Plan,Price
CO,43,F,SA1,292.27
CO,44,F,SA1,301
CO,45,F,SA1,309.72
CO,46,F,SA1,321.88
CO,47,F,SA1,334.05
CO,48,F,SA1,346.21
CO,49,F,SA1,358.38
CO,50,F,SA1,370.54
CO,51,F,SA1,382.7
CO,52,F,SA1,394.87
CO,53,F,SA1,407.03
CO,54,F,SA1,419.2
CO,55,F,SA1,431.36
CO,56,F,SA1,447.22
CO,57,F,SA1,463.07
CO,58,F,SA1,478.93
CO,59,F,SA1,494.78
CO,60,F,SA1,510.64
CO,61,F,SA1,526.49
CO,62,F,SA1,542.35
CO,63,F,SA1,558.2
CO,64,F,SA1,574.06
CO,18,F,SA2,198.57
CO,19,F,SA2,201.09
CO,20,F,SA2,203.61
CO,21,F,SA2,206.13
CO,22,F,SA2,208.66
CO,23,F,SA2,211.18
CO,24,F,SA2,213.7
CO,25,F,SA2,216.22
CO,26,F,SA2,221.07
CO,27,F,SA2,225.91
CO,28,F,SA2,230.76
CO,29,F,SA2,235.61
CO,30,F,SA2,240.46
CO,31,F,SA2,245.3
CO,32,F,SA2,250.15
CO,33,F,SA2,255
CO,34,F,SA2,259.84
CO,35,F,SA2,264.69
CO,36,F,SA2,276.34
CO,37,F,SA2,287.99
CO,38,F,SA2,299.64
CO,39,F,SA2,311.29
CO,40,F,SA2,322.94
CO,41,F,SA2,334.6
CO,42,F,SA2,346.25
CO,43,F,SA2,357.9
CO,44,F,SA2,369.55
CO,45,F,SA2,381.2
CO,46,F,SA2,397.18
CO,47,F,SA2,413.16
CO,48,F,SA2,429.14
CO,49,F,SA2,445.12
CO,50,F,SA2,461.1
CO,51,F,SA2,477.07
CO,52,F,SA2,493.05
CO,53,F,SA2,509.03
CO,54,F,SA2,525.01
CO,55,F,SA2,540.99
CO,56,F,SA2,561.41
CO,57,F,SA2,581.82
CO,58,F,SA2,602.24
CO,59,F,SA2,622.66
CO,60,F,SA2,643.07
CO,61,F,SA2,663.49
CO,62,F,SA2,683.91
CO,63,F,SA2,704.32
CO,64,F,SA2,724.74
CO,18,F,SA3,185.3
CO,19,F,SA3,187.8
CO,20,F,SA3,190.31
CO,21,F,SA3,192.81
CO,22,F,SA3,195.32
CO,23,F,SA3,197.82
CO,24,F,SA3,200.33
CO,25,F,SA3,202.83
CO,26,F,SA3,207.21
CO,27,F,SA3,211.6
CO,28,F,SA3,215.98
CO,29,F,SA3,220.37
CO,30,F,SA3,224.75
CO,31,F,SA3,229.13
CO,32,F,SA3,233.52
CO,33,F,SA3,237.9
CO,34,F,SA3,242.29
CO,35,F,SA3,246.67
CO,36,F,SA3,256.8
CO,37,F,SA3,266.93
CO,38,F,SA3,277.05
CO,39,F,SA3,287.18
CO,40,F,SA3,297.31
CO,41,F,SA3,307.44
CO,42,F,SA3,317.57
CO,43,F,SA3,327.69
CO,44,F,SA3,337.82
CO,45,F,SA3,347.95
CO,46,F,SA3,361.88
CO,47,F,SA3,375.8
CO,48,F,SA3,389.73
CO,49,F,SA3,403.66
CO,50,F,SA3,417.58
CO,51,F,SA3,431.51
CO,52,F,SA3,445.44
CO,53,F,SA3,459.37
CO,54,F,SA3,473.29
CO,55,F,SA3,487.22
CO,56,F,SA3,505.25
CO,57,F,SA3,523.29
CO,58,F,SA3,541.32
CO,59,F,SA3,559.35
CO,60,F,SA3,577.39
CO,61,F,SA3,595.42
CO,62,F,SA3,613.45
CO,63,F,SA3,631.49
CO,64,F,SA3,649.52
CO,18,F,SA4,222.46
CO,19,F,SA4,225.37
CO,20,F,SA4,228.29
CO,21,F,SA4,231.2
CO,22,F,SA4,234.12
CO,23,F,SA4,237.03
CO,24,F,SA4,239.95
CO,25,F,SA4,242.86
CO,26,F,SA4,248.59
CO,27,F,SA4,254.32
CO,28,F,SA4,260.06
